#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 05 13 23 50 265  8.6 11.6 99.00 99.00 99.00 999 1016.6  11.1 999.0 999.0 99.0 99.00
2014 05 14 00 50 264  5.0  8.0  0.02 99.00  9.73 999 1017.4  10.5 999.0 999.0 99.0 99.00
2014 05 14 01 50 263  3.5  7.1  0.01 99.00  8.74 999 1018.1  10.0 999.0 999.0 99.0 99.00
2014 05 14 02 50 231  2.7  5.9  0.01 99.00  8.57 999 1018.9   9.2 999.0 999.0 99.0 99.00
2014 05 14 03 50 241  3.6  5.5  0.02 99.00  9.43 999 1019.5   8.2 999.0 999.0 99.0 99.00
2014 05 14 04 50 250  3.2  4.6  0.01 99.00  8.27 999 1019.7   7.3 999.0 999.0 99.0 99.00
2014 05 14 05 50 265  4.8  6.5  0.01 99.00  9.20 999 1019.7   6.9 999.0 999.0 99.0 99.00
2014 05 14 06 50 271  6.3  8.2  0.01 99.00  9.47 999 1019.7   6.6 999.0 999.0 99.0 99.00
2014 05 14 07 50 255  4.9  7.8 99.00 99.00 99.00 999 1020.4   6.1 999.0 999.0 99.0 99.00
2014 05 14 08 50 270  5.2  6.8  0.01 99.00  8.18 999 1020.6   5.8 999.0 999.0 99.0 99.00
2014 05 14 09 50 283  5.6  8.2  0.01 99.00  7.39 999 1020.8   5.1 999.0 999.0 99.0 99.00
2014 05 14 10 50 282  5.8  8.1 99.00 99.00 99.00 999 1021.3   5.0 999.0 999.0 99.0 99.00
2014 05 14 11 50 289  5.8  8.1  0.01 99.00  8.98 999 1021.7   5.1 999.0 999.0 99.0 99.00
2014 05 14 12 50 286  5.4  7.9  0.01 99.00  8.47 999 1022.1   6.3 999.0 999.0 99.0 99.00
2014 05 14 13 50 289  6.5  9.6 99.00 99.00 99.00 999 1022.5   6.9 999.0 999.0 99.0 99.00
2014 05 14 14 50 295  3.7  6.2  0.02 99.00  9.11 999 1023.0   7.5 999.0 999.0 99.0 99.00
2014 05 14 15 50 284  5.5  7.8  0.01 99.00  8.77 999 1023.1   8.1 999.0 999.0 99.0 99.00
2014 05 14 16 50 290  4.0  6.4  0.01 99.00  8.80 999 1022.8   8.8 999.0 999.0 99.0 99.00
2014 05 14 17 50 279  4.5  7.1 99.00 99.00 99.00 999 1022.8   9.6 999.0 999.0 99.0 99.00
2014 05 14 18 50 275  4.7  7.0 99.00 99.00 99.00 999 1022.7  10.0 999.0 999.0 99.0 99.00
2014 05 14 19 50 303  4.0  5.5 99.00 99.00 99.00 999 1022.4  10.5 999.0 999.0 99.0 99.00
2014 05 14 20 50 311  3.9  6.3  0.01 99.00  7.74 999 1022.5  10.5 999.0 999.0 99.0 99.00
2014 05 14 21 50 341  3.4  6.1  0.01 99.00  7.88 999 1022.7  10.5 999.0 999.0 99.0 99.00
2014 05 14 22 50 353  3.3  5.7 99.00 99.00 99.00 999 1022.9  10.4 999.0 999.0 99.0 99.00
2014 05 14 23 50 355  3.3  7.0 99.00 99.00 99.00 999 1022.7   9.6 999.0 999.0 99.0 99.00
2014 05 15 00 50 343  3.7  6.4  0.01 99.00  7.47 999 1023.0   9.0 999.0 999.0 99.0 99.00
2014 05 15 01 50 354  2.9  5.1  0.01 99.00  8.86 999 1023.5   7.8 999.0 999.0 99.0 99.00
2014 05 15 02 50 331  2.8  4.4  0.01 99.00  7.62 999 1024.5   7.1 999.0 999.0 99.0 99.00
2014 05 15 03 50 339  3.9  6.0  0.02 99.00  9.29 999 1024.7   6.3 999.0 999.0 99.0 99.00
2014 05 15 04 50 348  3.4  5.6  0.01 99.00  8.45 999 1024.7   6.1 999.0 999.0 99.0 99.00
2014 05 15 05 50 352  3.5  5.5  0.01 99.00  8.56 999 1024.4   5.8 999.0 999.0 99.0 99.00
2014 05 15 06 50 351  3.9  6.4 99.00 99.00 99.00 999 1023.7   5.8 999.0 999.0 99.0 99.00
2014 05 15 07 50 350  3.7  5.5  0.01 99.00  8.73 999 1023.1   5.5 999.0 999.0 99.0 99.00
2014 05 15 08 50 343  4.1  6.8  0.01 99.00  7.53 999 1022.9   5.5 999.0 999.0 99.0 99.00
2014 05 15 09 50 343  3.8  5.8  0.02 99.00  9.18 999 1022.6   5.4 999.0 999.0 99.0 99.00
2014 05 15 10 50 342  3.4  4.8  0.01 99.00  7.04 999 1022.4   5.3 999.0 999.0 99.0 99.00
