#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 03 07 20 50  60  2.1  5.5  0.01 99.00  6.92 999 1029.9  -2.8 999.0 999.0 99.0 99.00
2013 03 07 21 50  62  2.1  4.5  0.01 99.00  6.73 999 1029.8  -3.1 999.0 999.0 99.0 99.00
2013 03 07 22 50  61  1.6  3.0  0.01 99.00  7.59 999 1029.9  -3.4 999.0 999.0 99.0 99.00
2013 03 07 23 50  59  1.5  3.0  0.01 99.00  8.61 999 1029.8  -4.0 999.0 999.0 99.0 99.00
2013 03 08 00 50  53  2.0  3.5  0.01 99.00  8.40 999 1029.5  -4.3 999.0 999.0 99.0 99.00
2013 03 08 01 50  51  3.5  5.2  0.01 99.00  7.95 999 1029.3  -4.0 999.0 999.0 99.0 99.00
2013 03 08 02 50  81  0.3  2.2  0.01 99.00  7.89 999 1029.5  -5.1 999.0 999.0 99.0 99.00
2013 03 08 03 50  89  2.3  3.5  0.01 99.00  8.06 999 1029.6  -5.7 999.0 999.0 99.0 99.00
2013 03 08 04 50  37  0.4  1.4 99.00 99.00 99.00 999 1029.5  -6.8 999.0 999.0 99.0 99.00
2013 03 08 05 50  20  0.2  0.8  0.01 99.00  7.15 999 1029.6  -6.6 999.0 999.0 99.0 99.00
2013 03 08 06 50  16  0.6  1.5  0.01 99.00  7.71 999 1029.7  -6.0 999.0 999.0 99.0 99.00
2013 03 08 07 50 180  0.0  0.1  0.01 99.00  6.93 999 1029.7  -5.7 999.0 999.0 99.0 99.00
2013 03 08 08 50 180  0.0  0.5  0.01 99.00  8.78 999 1029.0  -5.9 999.0 999.0 99.0 99.00
2013 03 08 09 50 180  0.1  0.8  0.01 99.00  7.40 999 1028.7  -5.7 999.0 999.0 99.0 99.00
2013 03 08 10 50 180  0.0  0.0  0.01 99.00  7.28 999 1028.4  -7.5 999.0 999.0 99.0 99.00
2013 03 08 11 50  51  0.5  0.9 99.00 99.00 99.00 999 1028.3  -7.1 999.0 999.0 99.0 99.00
2013 03 08 12 50 180  0.0  0.1 99.00 99.00 99.00 999 1028.6  -9.8 999.0 999.0 99.0 99.00
2013 03 08 13 50 180  0.1  1.2  0.01 99.00  7.26 999 1028.7  -9.6 999.0 999.0 99.0 99.00
2013 03 08 14 50 180  0.0  0.2 99.00 99.00 99.00 999 1028.4  -7.7 999.0 999.0 99.0 99.00
2013 03 08 15 50 217  0.5  1.2  0.01 99.00  7.56 999 1027.8  -4.6 999.0 999.0 99.0 99.00
2013 03 08 16 50 241  0.9  2.3  0.01 99.00  8.30 999 1027.6  -2.9 999.0 999.0 99.0 99.00
2013 03 08 17 50 247  2.1  3.8  0.01 99.00  7.55 999 1027.0  -1.3 999.0 999.0 99.0 99.00
2013 03 08 18 50 240  1.4  2.9  0.01 99.00  7.85 999 1026.0   0.1 999.0 999.0 99.0 99.00
2013 03 08 19 50 180  0.1  0.5  0.01 99.00  7.44 999 1025.2   2.2 999.0 999.0 99.0 99.00
2013 03 08 20 50  89  1.4  2.6  0.01 99.00  7.27 999 1024.9   0.8 999.0 999.0 99.0 99.00
2013 03 08 21 50  59  0.7  1.6  0.01 99.00  8.91 999 1024.6   0.7 999.0 999.0 99.0 99.00
2013 03 08 22 50 130  0.2  0.9  0.01 99.00  7.24 999 1024.8   0.5 999.0 999.0 99.0 99.00
2013 03 08 23 50 180  0.0  0.4  0.01 99.00  7.52 999 1025.0  -0.6 999.0 999.0 99.0 99.00
2013 03 09 00 50  37  0.3  0.9  0.01 99.00  7.49 999 1024.7  -1.0 999.0 999.0 99.0 99.00
2013 03 09 01 50  40  0.7  2.0  0.01 99.00  7.84 999 1024.3  -1.3 999.0 999.0 99.0 99.00
2013 03 09 02 50  52  0.8  1.3  0.01 99.00  7.95 999 1023.7  -0.7 999.0 999.0 99.0 99.00
2013 03 09 03 50  42  1.1  1.9  0.01 99.00  8.73 999 1023.6  -1.4 999.0 999.0 99.0 99.00
2013 03 09 04 50  52  1.0  1.5  0.01 99.00  7.53 999 1023.0  -2.9 999.0 999.0 99.0 99.00
2013 03 09 05 50  39  0.4  1.2  0.01 99.00  6.57 999 1022.3  -2.6 999.0 999.0 99.0 99.00
