                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------

2011 335    0.07    0.00    0.00    0.00    0.00    0.00    0.02
2011 336    0.15    0.00    0.00    0.00    0.00    0.00    0.06
2011 337    0.12    0.00    0.00    0.00    0.00    0.00    0.04
2011 338    0.12    0.00    0.00    0.00    0.00    0.00    0.04
2011 339    0.37    0.00    0.00    0.00    0.00    0.00    0.14
2011 340    0.73    0.00    0.00    0.00    0.00    0.00    0.27
2011 341    0.63    0.00    0.00    0.00    0.00    0.00    0.23
2011 342    0.54    0.15    0.00    0.00    0.00    0.00    0.23
2011 343    0.49    0.16    0.00    0.00    0.00    0.00    0.21
2011 344    0.50    0.32    0.00    0.00    0.00    0.00    0.26
2011 345    0.50    0.68    0.00    0.00    0.00    0.00    0.33
2011 346    0.71    0.41    1.04    0.00    0.00    0.00    0.60
2011 347    0.69    0.44    0.78    0.00    0.00    0.00    0.54
2011 348    0.73    0.30    0.35    0.00    0.00    0.00    0.42
2011 349    0.76    0.32    0.42    0.00    0.00    0.00    0.45
2011 350    0.79    0.31    0.09    0.00    0.00    0.00    0.38
2011 351    1.13    0.45    0.07    0.00    0.00    0.00    0.53
2011 352    1.07    0.43    0.29    0.00    0.00    0.00    0.56
2011 353    0.84    0.24    0.14    0.00    0.00    0.00    0.39
2011 354    0.80    0.26    0.17    0.00    0.00    0.00    0.39
2011 355    0.80    0.20    0.12    0.00    0.00    0.00    0.37
2011 356    0.75    0.21    0.20    0.00    0.00    0.00    0.37
2011 357    0.73    0.20    0.13    0.00    0.00    0.00    0.34
2011 358    0.76    0.93    0.23    0.00    0.00    0.00    0.54
2011 359    0.78    0.87    0.24    0.00    0.00    0.00    0.54
2011 360    0.77    0.50    0.28    0.00    0.00    0.00    0.46
2011 361    0.86    0.22    1.23    0.00    0.00    0.00    0.66
2011 362    1.20    0.34    1.22    0.00    0.00    0.00    0.81
2011 363    1.27    1.45    3.15    0.00    0.27    0.00    1.56
2011 364    1.32    1.51    4.10    0.00    0.61    0.00    1.84
2011 365    1.53    1.32    4.45    0.00    0.63    0.00    1.96
2012 001    1.44    1.33    4.08    0.00    0.62    0.00    1.84
2012 002    1.51    1.23    2.66    0.00    0.63    0.00    1.51
2012 003    2.56    3.00    8.19    0.00    0.33    0.00    3.59
2012 004    1.63    3.13    7.47    0.41    0.47   10.87    3.19
2012 005    1.79    2.44    7.41    0.27    1.01   10.23    3.11
2012 006    1.75    2.07    6.42    0.24    0.96    6.12    2.76
2012 007    1.74    1.43    5.18    0.27    0.96    4.59    2.31
2012 008    1.44    1.28    5.52    0.52    1.85    4.85    2.34
2012 009    1.61    2.37    4.10    0.01    0.88    1.67    2.17
2012 010    1.25    1.65    4.00    0.04    0.80    0.83    1.85
2012 011    1.29    1.36    4.13    0.00    0.74    0.56    1.82
2012 012    1.36    1.67    4.16    0.00    0.72    0.12    1.92
2012 013    1.83    3.09    5.10    0.00    0.72    0.24    2.64
2012 014    1.84    3.61    5.69    0.00    0.73    0.12    2.90
