                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
2015 048   88.83   56.92   91.85   95.51   78.49   99.19   82.26
2015 049   91.54   63.15   92.81   98.09   82.60   99.48   85.43
2015 050   91.64   51.66   93.53   95.77   55.75   99.36   80.87
2015 051   93.71   63.63   95.26   95.75   46.40   99.38   84.05
2015 052   93.42   53.68   95.52   95.72   60.92   99.38   82.82
2015 053   94.89   55.56   95.55   95.72   69.77   99.38   84.44
2015 054   95.45   62.54   95.94   95.92   59.93   99.38   85.61
2015 055   92.93   62.59   94.11   95.95   62.71   99.39   84.47
2015 056   94.64   65.53   93.93   95.30   60.20   99.39   85.47
2015 057   95.44   58.34   95.82   95.96   52.17   99.48   84.07
2015 058   95.55   67.41   95.51   95.98   62.50   99.48   86.83
2015 059   95.58   72.88   96.18   96.00   69.51   99.48   88.75
2015 060   94.14   71.16   96.18   96.01   76.13   99.48   88.32
2015 061   89.08   49.15   90.25   95.97   56.15   99.48   78.63
2015 062   86.76   48.48   89.00   96.05   62.04   99.48   77.77
2015 063   91.13   51.71   91.24   96.05   59.20   99.48   80.43
2015 064   94.02   56.17   95.40   95.65   55.24   99.48   83.15
2015 065   92.83   60.98   96.28   96.16   49.69   99.48   83.65
2015 066   88.21   60.64   88.59   93.58   54.53   99.48   80.17
2015 067   89.99   48.96   92.14   92.82   48.42   99.48   78.51
2015 068   85.74   38.10   90.17   91.78   45.01   99.26   73.69
2015 069   80.53   33.13   82.35   91.73   42.22   96.40   68.59
2015 070   75.11   32.78   74.08   91.99   37.87   96.24   64.26
2015 071   76.10   36.47   75.17   93.99   32.57   96.24   65.51
2015 072   77.79   37.06   76.27   93.78   32.16   90.85   66.45
2015 073   74.49   32.80   72.57   92.70   30.14   90.85   63.16
2015 074   72.66   33.06   64.71   90.68   28.89   90.85   60.39
2015 075   71.73   30.51   63.43   89.87   27.11   90.85   58.97
2015 076   63.76   28.46   62.58   86.56   26.43   95.13   55.05
2015 077   61.21   27.90   56.66   85.14   22.90   94.19   52.18
2015 078   60.68   28.77   56.99   87.32   23.10   94.73   52.48
2015 079   61.59   28.88   58.26   86.97   22.26   85.32   53.01
2015 080   61.22   30.35   58.07   87.25   26.28   85.20   53.48
2015 081   60.53   31.04   52.21   82.45   24.77   85.22   51.43
2015 082   67.38   28.97   53.50   83.46   20.85   82.71   53.57
2015 083   69.04   31.20   76.68   88.40   26.96   83.83   61.12
2015 084   69.01   29.91   64.25   87.76   24.48   85.48   57.62
2015 085   64.14   24.31   52.02   83.97   23.60   83.04   51.23
2015 086   68.81   24.60   52.23   82.43   21.73   83.20   52.78
2015 087   72.22   23.46   56.50   69.58   23.45   73.77   53.67
2015 088   66.88   21.61   59.23   71.25   21.96   76.30   52.01
2015 089   62.88   16.61   41.77   66.16   20.65   47.50   44.57
2015 090   62.84   18.09   44.14   66.14   17.11   47.50   45.20
2015 091   67.70   19.53   45.54   65.03   17.18   58.35   47.57
2015 092   59.08   16.69   45.31   64.79   18.10   50.12   43.74
2015 094   49.21   12.90   35.84   52.80   15.48   10.02   35.55
2015 095   51.31   13.31   34.26   48.28   12.57    8.97   35.39
2015 096   57.18   12.25   36.86   46.51   12.29    0.00   37.70
