                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------

2010 341    0.65    0.22    0.43    0.00    0.00    0.00    0.39
2010 343    1.32    0.92    3.59    1.16    0.75   28.85    1.82
2010 348    1.47    2.52    5.86    1.07    1.04   11.92    2.72
2010 350    3.17    5.32   11.01   15.44    1.40   91.43    6.89
2010 351    2.26    3.53   11.25   17.23    1.85   91.77    6.41
2010 352    2.73   11.84   11.00   18.02    1.83   91.81    8.47
2010 353    2.71    3.02   10.74   18.56    1.64   92.01    6.45
2010 354    3.93    5.70   10.53   19.09    1.75   96.89    7.52
2010 355    4.15    9.47   13.26   23.64    1.95   94.20    9.53
2010 356    3.30    6.05   12.22   22.33    1.13   94.17    8.02
2010 357    2.96    6.22   10.01   17.15    1.99   83.17    6.95
2010 358    2.09    4.58   10.15   15.64    1.07   78.30    6.06
2010 359    2.11    4.60   10.41   15.66    1.08   77.48    6.14
2010 360    1.79    5.34    9.87   19.83    1.10   82.45    6.47
2010 361    1.76    4.20    9.30   18.81    1.12   87.60    5.99
2010 362    3.46    9.76   13.45   21.58    1.45   93.19    9.16
2010 363    2.62    8.56   14.35   19.88    1.40   90.02    8.62
2010 364    3.00    8.81   13.84   31.35    5.50   92.75   10.08
2010 365    2.97    7.74   12.31   29.75    5.67   90.03    9.32
2011 001    2.97    5.13   12.33   28.42    3.95   90.07    8.48
2011 002    2.82    5.74   12.42   20.06    3.80   90.21    7.79
2011 003    3.08    8.91    7.33   12.95    1.87   83.58    6.55
2011 004    4.79   13.34    9.35   18.79    3.06   93.11    9.33
2011 005    2.84    7.45    9.55   11.98    1.14   89.53    6.55
2011 006    3.58   10.44   12.84   26.98    1.61   93.47    9.73
2011 007    2.69    9.50   11.24   28.25    1.59   89.91    8.92
2011 008    3.25   12.18   13.06   25.34    1.65   89.93    9.89
2011 009    4.53   13.30   15.04   34.16    1.38   89.93   11.89
2011 010    6.42   14.78   19.06   44.19    2.80   90.03   14.91
2011 011    7.34   20.34   24.89   45.45    1.54   95.62   17.94
2011 012    7.55   14.73   20.57   55.34    3.72   98.89   16.83
2011 013    4.88   16.47   20.00   62.21    2.30   98.81   16.64
2011 014    6.58   17.92   23.54   65.24    1.98   98.96   18.69
2011 015    7.65   14.72   28.10   68.64    9.14   98.90   20.29
2011 016    7.02   16.09   24.21   65.88    9.06   99.06   19.18
2011 017    8.72   20.05   31.52   69.13    4.16   99.23   22.39
2011 018    7.96   19.11   27.39   80.98   15.02   97.91   22.81
2011 019    5.70   19.44   26.28   72.13    7.47   98.68   20.42
2011 020   11.30   23.21   28.25   78.77   11.61   98.59   24.71
2011 021   10.40   21.62   35.41   75.75   12.01   87.74   25.44
2011 022   12.21   23.73   31.75   76.83   11.12   89.53   25.74
2011 023   10.47   23.69   41.88   87.78   14.88   89.53   28.81
2011 024   16.30   26.82   48.83   87.10   21.46   98.75   33.76
2011 025   15.28   26.88   49.00   89.58   19.57   99.22   33.54
2011 026   11.12   21.45   36.85   85.29   17.82   99.04   27.36
