                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------

2012 339    0.46    0.00    0.06    0.00    0.00    0.00    0.18
2012 340    0.41    0.00    0.07    0.00    0.00    0.00    0.17
2012 341    0.52    0.00    0.21    0.00    0.00    0.00    0.24
2012 342    0.56    0.00    0.26    0.00    0.00    0.00    0.27
2012 345    1.10    0.00    0.28    0.00    0.00    0.00    0.47
2012 346    0.64    0.00    0.40    0.00    0.00    0.00    0.33
2012 347    0.86    0.00    0.31    0.00    0.00    0.00    0.39
2012 348    0.90    0.04    0.28    0.00    0.00    0.00    0.40
2012 349    0.86    0.07    0.40    0.00    0.00    0.00    0.42
2012 350    1.36    0.22    0.82    0.00    0.00    0.00    0.74
2012 351    1.52    0.00    0.86    0.00    0.00    0.00    0.76
2012 352    1.29    0.00    0.52    0.00    0.00    0.00    0.60
2012 353    0.73    0.04    0.25    0.00    0.00    0.00    0.34
2012 354    0.89    0.08    0.29    0.00    0.00    0.00    0.41
2012 355    1.04    0.11    0.24    0.00    0.00    0.00    0.46
2012 356    1.07    0.21    0.27    0.00    0.00    0.00    0.50
2012 357    0.98    0.21    0.30    0.00    0.00    0.00    0.48
2012 358    1.01    0.31    0.32    0.00    0.00    0.00    0.51
2012 359    0.94    0.47    0.49    0.00    0.00    0.00    0.57
2012 360    1.12    0.94    0.86    0.72    0.84    0.12    0.96
2012 361    1.58    0.98    1.85    0.14    1.25    0.52    1.35
2012 362    1.85    1.02    2.30    0.38    1.16   22.89    1.67
2012 363    2.01    1.24    2.86    0.33    1.03   12.00    1.85
2012 364    2.21    2.39    4.96    0.35    0.76   36.77    2.76
2012 365    2.45    1.97    4.49    0.47    0.75   33.84    2.64
2012 366    1.82    1.89    6.46    0.52    0.76   34.33    2.87
2013 001    1.68    1.41    5.30    0.70    0.71   35.34    2.45
2013 002    2.31    2.56    5.84    0.47    0.65   33.74    3.04
2013 003    2.87    2.66    7.92    4.95    0.70   82.92    4.37
2013 004    1.84    2.26    6.85    6.34    1.02   71.37    3.76
2013 005    1.85    2.85    7.67    9.75    1.19   89.53    4.50
2013 006    2.25    3.01    8.58    9.05    1.03   89.53    4.82
2013 007    2.21    2.97    5.96    5.14    0.99   53.20    3.66
2013 008    1.37    2.25    4.93    5.12    0.96   49.25    2.93
2013 009    1.37    2.07    4.33    2.39    0.91   39.41    2.44
2013 010    1.61    1.67    4.36    1.81    0.91   25.20    2.34
2013 011    1.19    1.96    3.87    1.36    0.91   24.49    2.09
2013 012    1.19    2.10    5.60    2.57    0.93   22.89    2.64
2013 013    1.56    1.92    5.05    1.83    0.97   18.24    2.52
2013 014    1.77    2.61    5.22    1.75    0.87   19.01    2.78
2013 015    1.84    1.87    4.18    1.85    0.50    8.70    2.33
2013 016    2.15    3.81    4.72    0.59    0.51    3.15    2.88
2013 017    2.46    3.94    4.66    0.76    0.60    0.42    3.01
2013 018    2.68    7.39   12.90    0.10    0.66   28.87    5.89
2013 019    5.22    6.91   11.97    0.28    0.94   28.59    6.53
