                Great Lakes Average Ice Concentration

------------------------------------------------------------------
                       Ice Concentration (%)
 
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr  GL Total
------------------------------------------------------------------

2020 327    0.20    0.00    0.00    0.00    0.00    0.00    0.07
2020 328    0.16    0.00    0.00    0.00    0.00    0.00    0.06
2020 329    0.20    0.00    0.00    0.00    0.00    0.00    0.07
2020 330    0.18    0.00    0.00    0.00    0.00    0.00    0.07
2020 331    0.23    0.00    0.02    0.00    0.00    0.00    0.09
2020 332    0.20    0.00    0.02    0.00    0.00    0.00    0.08
2020 333    0.18    0.00    0.03    0.00    0.00    0.00    0.07
2020 334    0.20    0.00    0.02    0.00    0.00    0.00    0.08
2020 335    0.16    0.00    0.02    0.00    0.00    0.00    0.06
2020 336    0.30    0.00    0.02    0.00    0.00    0.00    0.11
2020 337    0.35    0.00    0.02    0.00    0.00    0.00    0.13
2020 338    0.37    0.00    0.02    0.00    0.00    0.00    0.14
2020 339    0.21    0.00    0.00    0.00    0.00    0.00    0.08
2020 340    0.25    0.00    0.00    0.00    0.00    0.00    0.09
2020 341    0.44    0.00    0.00    0.00    0.00    0.00    0.16
2020 342    0.41    0.00    0.01    0.00    0.00    0.00    0.15
2020 343    0.43    0.00    0.03    0.00    0.00    0.00    0.16
2020 344    0.36    0.00    0.03    0.00    0.00    0.00    0.14
2020 345    0.39    0.00    0.03    0.00    0.00    0.00    0.15
2020 346    0.41    0.00    0.09    0.00    0.00    0.00    0.17
2020 347    0.36    0.00    0.10    0.00    0.00    0.00    0.16
2020 348    0.47    0.00    0.10    0.00    0.00    0.00    0.20
2020 349    0.74    0.00    0.13    0.00    0.00    0.00    0.30
2020 350    0.76    0.16    0.26    0.00    0.00    0.00    0.38
2020 351    0.98    0.30    0.36    0.00    0.05    0.00    0.52
2020 352    0.93    0.41    0.58    0.00    0.56    0.00    0.61
2020 353    0.99    0.67    0.98    0.00    0.73    0.00    0.80
2020 354    1.09    0.85    1.36    0.09    0.83    0.00    0.98
2020 355    1.10    0.53    1.37    0.05    0.81    0.00    0.91
2020 356    1.07    0.30    1.23    0.00    0.85    0.00    0.81
2020 357    0.96    0.28    1.06    0.00    0.85    0.00    0.73
2020 358    0.92    0.19    0.87    0.00    0.85    0.00    0.65
2020 359    1.09    0.33    0.81    0.00    0.48    0.00    0.70
2020 360    1.51    0.88    1.24    0.00    0.71    0.00    1.10
2020 361    1.61    0.95    1.72    0.08    0.71    0.00    1.27
2020 362    2.17    1.60    4.39    1.18    0.82    9.03    2.41
2020 363    1.69    1.22    2.94    0.58    0.82    1.95    1.71
2020 364    1.90    1.64    3.46    0.43    0.63    1.95    1.98
2020 365    2.51    1.64    3.57    0.49    0.63    0.21    2.23
2020 366    1.50    1.40    3.09    0.20    0.58    0.07    1.66
2021 001    2.81    1.77    5.58    0.12    0.62    0.31    2.81
2021 002    2.90    2.50    4.69    0.18    0.75    4.43    2.83
2021 003    2.32    1.86    4.04    0.08    0.76    0.56    2.30
2021 004    2.04    1.93    4.25    0.08    0.78    0.21    2.26
2021 005    1.92    1.80    3.55    0.08    0.67    0.10    2.01
